,Id,Province,Year,IW,GFCF,Labor,ICT Index,Edu Index,West Java,Central Java,DIY,East Java,Banten
0,1,DKI Jakarta,2010,-1.1081182139863481,1.0555465683535727,-1.5662827130445274,1.2639453213265774,0.7349096195758952,0,0,0,0,0
1,1,DKI Jakarta,2011,-1.1081182139863481,1.261736873228632,-1.799602816159237,1.0333754388308913,0.7726806273351305,0,0,0,0,0
2,1,DKI Jakarta,2012,-1.045275971227198,1.5166791198367569,-1.0631862407034367,1.321587791950499,0.810451635094366,0,0,0,0,0
3,1,DKI Jakarta,2013,-1.045275971227198,1.6796597057311,-0.6840410731420317,1.321587791950499,0.954508501897028,0,0,0,0,0
4,1,DKI Jakarta,2014,-0.9824337284680479,1.7727494294829704,-0.6257110473633555,1.4860332787154398,1.052888801176892,0,0,0,0,0
5,1,DKI Jakarta,2015,-0.9824337284680479,1.8552942161396604,-0.1736533475786078,1.762994098530078,1.2294463025630826,0,0,0,0,0
6,1,DKI Jakarta,2016,-0.9195914857088978,1.9049780360346258,0.23101120626096625,1.9707147133910565,1.3858007067757288,0,0,0,0,0
7,1,DKI Jakarta,2017,-0.9195914857088978,2.1016043281954517,-0.1408427080781005,1.5725835349075148,1.5166816406391237,0,0,0,0,0
8,1,DKI Jakarta,2018,-0.9195914857088978,2.263162573737422,0.18726368692696174,1.7370290216724555,1.5720205589840477,0,0,0,0,0
9,1,DKI Jakarta,2019,-0.8567492429497476,2.3097074356133573,0.19455494014929495,1.8841644571989817,1.5860748874526,0,0,0,0,0
10,2,West Java,2010,0.33725336947410306,-0.26884848458201666,-1.3037975970404796,-0.93815284696837,-1.3442525982405717,1,0,0,0,0
11,2,West Java,2011,0.33725336947410306,-0.15211848324932398,-1.1689094124272865,-1.0797490660986038,-1.2160068509650315,1,0,0,0,0
12,2,West Java,2012,0.33725336947410306,-0.02582446920239796,-0.8480942706445628,-0.9027537921858119,-1.0394493495788422,1,0,0,0,0
13,2,West Java,2013,0.33725336947410306,-0.03931217944041918,-0.8772592835339008,-0.7815834335169073,-0.7574843846785113,1,0,0,0,0
14,2,West Java,2014,0.33725336947410306,0.05421896028287705,-0.6184197941410222,-0.5911728698943439,-0.5703861369409071,1,0,0,0,0
15,2,West Java,2015,0.33725336947410306,0.11282919204446014,-0.7168517126425389,-0.9287188690434344,-0.46058669578034067,1,0,0,0,0
16,2,West Java,2016,0.27441112671495294,0.18021869701551896,-0.7788273650323841,-0.5392427161790997,-0.3472736725026368,1,0,0,0,0
17,2,West Java,2017,0.27441112671495294,0.2766926098816563,-0.5345703820841721,0.21374451269194725,-0.19443285040712932,1,0,0,0,0
18,2,West Java,2018,0.27441112671495294,0.3726270143382727,-0.5163422490283365,0.4301201531721331,-0.1759865442921565,1,0,0,0,0
19,2,West Java,2019,0.2115688839558028,0.4436949857378828,-0.4507209700273219,0.6291857424139045,-0.046862401487330924,1,0,0,0,0
20,3,Central Java,2010,0.2115688839558028,-0.4968643569331464,0.19820056676046416,-1.263754910762954,-1.5322292415074612,0,1,0,0,0
21,3,Central Java,2011,0.27441112671495294,-0.4376655705429951,-0.11532332179992648,-1.3921954909519922,-1.476890323162535,0,1,0,0,0
22,3,Central Java,2012,0.1487266411966534,-0.3629681789338811,0.4169381634305022,-1.2316447657156941,-1.3688476730605401,0,1,0,0,0
23,3,Central Java,2013,0.0858843984375033,-0.3193660902007871,0.2711130989838067,-1.0325791764739232,-1.133437671212287,0,1,0,0,0
24,3,Central Java,2014,0.0858843984375033,-0.2725269510105679,0.39141877715232815,-0.9460289202818488,-0.941947445828261,0,1,0,0,0
25,3,Central Java,2015,0.02304215567835318,-0.2157804755727841,0.6429670133228786,-1.3008849706693537,-0.7970121834963138,0,1,0,0,0
26,3,Central Java,2016,-0.03980008708079693,-0.14755718487792038,0.7742095713249025,-0.911408817805019,-0.703023861862869,0,1,0,0,0
27,3,Central Java,2017,-0.10264232983994705,-0.05696881829746498,0.7960833309919073,-0.12380148645714242,-0.5870756519973117,0,1,0,0,0
28,3,Central Java,2018,-0.10264232983994705,0.0427421450257973,0.817957090658907,0.03198897468859115,-0.5185608007131194,0,1,0,0,0
29,3,Central Java,2019,0.02304215567835318,0.11057306596828215,0.8252483438812455,0.31760482012243657,-0.4017341953182779,0,1,0,0,0
30,4,DI Yogyakarta,2010,-1.1709604567454983,-1.2696365842431914,0.3877731505411641,0.158611999497596,0.7603830899251465,0,0,1,0,0
31,4,DI Yogyakarta,2011,-1.1081182139863481,-1.2658109791574983,0.8617046099929166,-0.027297950802979972,0.972954808012002,0,0,1,0,0
32,4,DI Yogyakarta,2012,-1.1081182139863481,-1.2611025421289528,1.0403403139401142,0.20508948707274,1.038834472708342,0,0,1,0,0
33,4,DI Yogyakarta,2013,-1.1081182139863481,-1.2562960126623124,1.2809516702771624,0.5339804606026224,1.099443764228973,0,0,1,0,0
34,4,DI Yogyakarta,2014,-1.1081182139863481,-1.2505576050337723,1.2481410307766552,0.6551508192715262,1.2417438399730667,0,0,1,0,0
35,4,DI Yogyakarta,2015,-1.1081182139863481,-1.245996306662369,0.9783646615502741,0.4128101019337186,1.4051254084199878,0,0,1,0,0
36,4,DI Yogyakarta,2016,-1.1081182139863481,-1.2394731595290713,1.4705242540578622,0.8542164085132976,1.5562094394569272,0,0,1,0,0
37,4,DI Yogyakarta,2017,-1.1081182139863481,-1.2337347519005315,1.3611554557228434,0.9840417928014086,1.676549626968904,0,0,1,0,0
38,4,DI Yogyakarta,2018,-1.1081182139863481,-1.2213751047005992,1.240849777554322,1.321587791950499,1.8065521653030157,0,0,1,0,0
39,4,DI Yogyakarta,2019,-1.1709604567454983,-1.2083288104340042,1.3174079363888336,1.537963432430685,1.8469583596501045,0,0,1,0,0
40,5,East Java,2010,1.7826249529345541,-0.0166037800214962,0.9127433825492596,-1.3237342383040611,-1.3460093892991412,0,0,0,1,0
41,5,East Java,2011,1.7826249529345541,0.06525435956853079,0.5007875754873524,-1.4497514113197214,-1.2572914408414044,0,0,0,1,0
42,5,East Java,2012,1.8454671956937043,0.18924320132023148,0.9637821551056025,-1.2922299450501462,-1.1729654700300893,0,0,0,1,0
43,5,East Java,2013,1.8454671956937043,0.26457819377696074,0.894515249493424,-1.0585442533315454,-0.9577585653553815,0,0,0,1,0
44,5,East Java,2014,1.8454671956937043,0.33540093408133426,0.9346171422162645,-0.9287188690434344,-0.755727593619942,0,0,0,1,0
45,5,East Java,2015,1.9083094384528545,0.4340328805855547,0.8325395971035786,-1.2316447657156941,-0.6160627044637016,0,0,0,1,0
46,5,East Java,2016,1.9083094384528545,0.5413460078611563,0.9273258889939312,-0.7469633310400783,-0.42808606119681214,0,0,0,1,0
47,5,East Java,2017,1.9083094384528545,0.641792664470129,1.003884047828443,0.006023897830968634,-0.32180020215338556,0,0,0,1,0
48,5,East Java,2018,1.9711516812120045,0.7630839641742254,1.0075296744396123,0.05795405154621367,-0.29105635862842744,0,0,0,1,0
49,5,East Java,2019,1.9711516812120045,0.8672581334307966,1.0330490607177811,0.3089497945032293,-0.1592970292357496,0,0,0,1,0
50,6,Banten,2010,-0.10264232983994705,-0.9555445974639628,-2.52508251178154,-0.5954138324477557,-0.925257930771854,0,0,0,0,1
51,6,Banten,2011,-0.10264232983994705,-0.9198389499974919,-2.54695627144854,-0.7508580925687209,-0.7381596830342498,0,0,0,0,1
52,6,Banten,2012,-0.10264232983994705,-0.8813376680453224,-1.1616181592049533,-0.5565527674175141,-0.5132904275374136,0,0,0,0,1
53,6,Banten,2013,-0.10264232983994705,-0.8638772140644658,-1.015793094758263,-0.39210728065257333,-0.3411249037976459,0,0,0,0,1
54,6,Banten,2014,-0.10264232983994705,-0.8495557181026395,-0.8444486440333936,-0.25362687074525425,-0.21639273863924416,0,0,0,0,1
55,6,Banten,2015,-0.16548457259909716,-0.8206674950837506,-1.0194387213694271,-0.7209982541824558,-0.15666184264789618,0,0,0,0,1
56,6,Banten,2016,-0.16548457259909716,-0.7869727425982211,-0.7897642448658866,-0.27093692198366875,0.04976110673396722,0,0,0,0,1
57,6,Banten,2017,-0.16548457259909716,-0.7358665823508824,-0.9210068028679105,0.31760482012243657,0.16922289871666207,0,0,0,0,1
58,6,Banten,2018,-0.16548457259909716,-0.6923625860558832,-0.6439391804191912,0.5772555886986594,0.24740010082298514,0,0,0,0,1
59,6,Banten,2019,-0.16548457259909716,-0.6459648628370902,-0.49446848936133164,0.6551508192715262,0.3238205118707411,0,0,0,0,1
